几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
你好，我买了联合会员，一直没有到账,您下单的这款商品的会员卡是实体卡呢您等待下物流送达后取出兑换对应会员权益就可以了,20230202 19:19:14
请帮查一下物流信息一直没有更新,"显示【昆明市】快件已被【丰巢的清水佳湖雅居11栋和12栋之间丰巢柜2号柜(丰巢智能快递柜)】代收，如有问题请电联（4000633333,18487183321）辛苦拨打电话咨询下这个呢",20230104 15:38:25
我的买了会员账户没有显示,收到货后激活使用会员哦,20230201 12:55:25
收不到货,因疫情原因物流无人卸货派送，网点全面报停，还请您等待快递恢复后更新物流信息发出呢,20230108 08:45:57
物流一个礼拜没有更新，用户催促物流，麻烦核实处理下,催促,20230105 12:18:43
付款时说是工行卡满六元减五元，我的没有减，，要求退款,支付页面请选择工行储蓄卡，如有优惠名额和优惠金额会如图红框提示，即可以享受满减活动,20230207 22:26:41
购买了这个齐善洪说道德经是不是永久可以听还有书会寄给我吗电商无,购买后是可以永久收听也是有图书为您邮寄的呢,20230323 19:30:17
请问什么时候寄书给我,个订单是单独付费专辑未有实体书呢,20230404 13:36:08
声音日历是什么意思,扫描日历上面的二维码，有专辑可以收听的,20221209 18:33:11
喜马拉雅×keep能量礼盒这个喜马的会员要到货之后才能兑换吗,是需要收到之后使用实体卡兑换下,20230125 14:13:32
买了东西不发货半月了,"物流单号：9870045244521，最新2023年1月14日上午8:02:14离开【江苏省寄递事业部南京市邮区中心江宁邮件处理车间】,下一站【合肥蜀山邮件处理中心】",20230114 14:27:30
努尔哈赤传还有签名？,是签名版哦,20221117 16:10:43
商品可以延迟收货吗,这边需要先帮您反馈核实一下呢是否解决：,20221117 14:47:40
我联和会员已经退款，没找到原来的套餐。,之前活动已经过去了，时光匆匆，一去不复还，请您珍惜今年的活动哦~是否解决：,20221209 16:30:18
我的订单前天显示派送，到站在没有任何消息,辛苦您联系下快递员的哈,20230413 13:35:47
我看哈利波特官方号卖魔杖，能去环球影城互动的吗？,喜猫儿9453月13日23:01:52,20230314 01:59:20
套餐可以买来送给朋友吗？买耳机送会员这个套餐，可以买给朋友吗？,离线私信,20230331 10:11:39
退钱吧,处理退款,20221220 09:17:23
台州可以发货吗,是哪笔订单呢,20221224 17:11:06
需要查看耳机回寄的通知上海微意电子有限公司,可进行售后处理要包装配件完整寄至：B2C，17602128987，上海市闵行区颛兴东路999弄阳明创业园致美楼206室喜马拉雅。请使用普通快递。拒收到付件。拒收顺丰邮政。一张小纸条，写上订单编号：202304024001904005710585269，随商品一起寄回，方便及时对应处理售后。,20230409 12:21:00
我问下刚刚我反馈的问题解决没,请您确认下绝缘贴是否有撕掉，换根数据线试下，如果还不行可以换新售后地址：广东省深圳市宝安区福海街道重庆路194号科上美工业园D栋3楼书娴15302713990寄回商品附一字条，写明姓名、电话、订单号，顾客的收货地址，以及寄回原因（备注：商品问题描述，退货），以便库房验收确认后办理后续工作。寄出后请保留快递底单，将寄出后的运单号反馈给在线客服，以便后续跟踪查询，感谢配合！运费麻烦顾客先行垫付，这边最高为顾客,20221106 13:28:52
想用喜点买联合会员套餐中的vip+漫步者耳机，但到了付款那步不能选择喜点，这要怎么弄,实物商品不支持使用喜点支付哦,20230212 21:42:31
商城的东西可以发邮政快递吗,不好意思，这个不支持指定快递的呢,20230223 10:00:42
喜马拉雅自营的快充线请问新疆乌鲁木齐市最近能发货吗？,这边已经反馈商家核实有回复尽快给您短信告知哦是否解决：,20221029 18:03:34
学习喜马主播，送的耳机喜马耳机怎么连,小雅AI真无线耳机连接喜马拉雅APP步骤如下：1、前往应用商店（APPstore）下载喜马拉雅APP；2、请登录喜马拉雅APP，根据步骤登录/注册喜马拉雅账号；3、打开耳机充电盒即可进入配对状态；4、耳机在配对状态下，手机系统【设置-蓝牙】打开蓝牙并搜索设备名称为“XiaoyaAiPods”进行连接；5、手机连接耳机后，请登录喜马拉雅APP，点击【我的-智能硬件-添加设备-小雅AI真无线耳机】绑定即可。温馨提示：若喜马拉雅ios版本智能硬件没有显示耳机绑定入口，请至应用商店手动更新APP即可。,20230405 21:47:59
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20230115 12:13:52
什么时候可以发货,这边帮您催促一下商家哦是否解决：,20221230 14:41:56
这款还有货吗,您看下是否可以下单，可以下单是有货的哦,20221227 23:26:47
触控不好使一点反应也没有，申请一下售后维修一下,已钉钉群反馈,20230415 10:48:55
我的订单已发货一个多月了还没到货护腰,"显示已签收，告知联系快递电话咨询下，【绍兴市越城城西第一揽投部】安排投递,投递员:寿建平,电话:15068578520,揽投部电话:0575-85337215",20230111 17:00:19
厂家已同意退款，怎么操作,已处理退款,20230112 13:58:59
目前没有发货呢发货后多久能到,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~发出后点击喜马拉雅APP[我的-全部服务-订单]可关注物流的,20230124 19:25:25
啥时候发货什么时候发货,这边帮您催促一下商家哦是否解决：,20230124 14:24:13
请问这个耳机防水吗,耳机是防水的呢,20230206 12:01:56
今天会发货吗昨天已下单,这边帮您催促一下哦是否解决：,20230104 13:20:17
买了书没有送笔记本+贴纸,这边帮您反馈商家核实下呢核实后私信告知您,20230423 03:00:33
催发货,为用户催促发出,20221231 22:04:27
用户退款辛苦拦截物流,反馈拦截物流，用户离线是否解决：,20221105 09:14:30
我提起的问题你们怎么没回复商品问题,告知前客服的私信回复,20230301 14:08:05
地址填写错误,退款后重新下单，提交订单页面也修改地址,20221222 14:57:01
这款可以给小孩听故事吗随身,您可蓝牙链接手机播放的哦,20230227 22:35:56
你好，我的物流半个月没更新了,发送物流截图,20221216 19:20:55
就是刚刚用兑换码兑换了一本书嗯，我想改一下地址的收货地址。,幽默沟通学：零距离制胜的社交法宝这个是吗未回复,20230425 16:08:14
买喜马拉雅VIP年卡赠正版哈利波特毛绒公仔盲盒一套（8个）什么时候发货？,这边为您催促一下呢~辛苦后续在订单页面查看一下物流信息呢~,20221116 18:03:10
有一个耳机连上后会自动打电话这个是设置问题还是耳机问题,已钉钉核实,20230416 11:43:32
订单物流一直不更新电商凌海市展望生物科技有限公司）,已经反馈商家催促,20230402 08:42:45
订单物流一直不更新电商凌海市展望生物科技有限公司）麻烦让商家联系看看货物到底到哪了先催物流,发群,20230402 10:19:46
退款申请已经完成，我没收到货，怎么退,查看已申请拦截的哦，这边催促下呢，尽快给您退款哈,20230407 20:45:15
用户反馈需要修改地址，改到即墨区通济街道办事处郭庄菜鸟驿站，我发的是即墨区每次都是城阳，还有电话号码,这边尽快反馈处理哦,20230321 15:16:00
元那款联合会员送小雅对吧？,送的,20230104 21:33:38
我已购买了刚才那款年卡，怎么样使用,年卡是实体卡需要收到商品后激活兑换的呢,20230104 21:48:00
请问怎么还有儿童的VIP会员吗,购买的是喜马拉雅会员，已反馈处理退款,20230104 22:03:09
用户称物流一直未更新，催促要求尽快发货辛苦核实处理,辛苦麻烦您后续关注一下订单页面物流是否更新呢~,20221215 20:25:32
漫步者耳机x2，优惠期里，一年会员+耳机才178耳机质量没问题吧？,这个您放心的呢平台下单设备质量有保障的呢如果您收到后续产品是有有异常您随时来访小喜的呢,20230424 13:35:11
苹果手机可以用吗耳机,该耳机未蓝牙耳机可正常使用,20230316 00:05:33
联合会员中的漫步者耳机是什么型号的呢,型号是X2的,20230424 09:15:20
包裹里有哪些东西,喜马拉雅会员年卡联合keep季卡以及nano音箱和keep瑜伽垫兑换券，用户离线,20230206 22:10:09
电商厦门圣岩茶叶有限公司早上拍的茶叶收货地址错了，能改一下吗？,您目前已申请退款到账了建议您重新购买选择正确的地址哦,20230329 17:23:12
申请退款电商厦门圣岩茶叶有限公司,已反馈商家,20230401 23:07:10
"用户需求修改收件信息：黑龙江省绥化市北林区信合高层,刘岩峰,电商所属供应商名称：来自商家:凌海市展望生物科技有限公司）",反馈商家修改尝试,20230401 16:26:04
你好keep联名能量礼盒包含喜马拉雅的会员吗,包含喜马拉雅年卡,20230120 16:31:33
用户催促发货,催促,20221231 18:50:11
我买的物品啥时候发货，，施华洛世奇福到新年红色葫芦项链,昨天回复的今天会安排发货，辛苦您晚点注意下的，会话中已告知用户，故未短信,20230101 12:41:12
用户反馈只收到10包抽纸，应该是10包送2包抽纸,反馈供应商核实后私信回复,20230205 19:41:38
订的货物1月3号左右已到洛阳，为何还收不到货物，催促物流更新,催促，用户离线,20230109 22:03:50
有一个198，日历会员年卡套餐，内容就是喜马拉雅一年的会员，加一个日历吗,是日历+年卡,20221115 16:27:46
什么是声音日历,日历的右下角或者左下角有二维码您喜马拉雅扫描后就会有相对应的专辑的,20221216 19:31:42
你好，需要修改下地址，福建省漳州市东山县西埔镇道周路5号中国移动营业厅陈亚燕,已反馈,20221220 15:30:25
商家:安徽聚悦电子商务有限公司）送到的杯子破碎，包装简陋。快递公司以联系用户确认杯子以碎事实。快递以拒收了。新的杯子还未收到,有结果给您私信回复,20230217 10:35:11
昨天反应的问题什么时间能解决,这边核实厂家回复没有收纳包的,20230108 10:58:36
在商城购买的商品有哪些售后保证,商品如有质量问题随时联系我们为您处理,20230103 17:12:55
漫威那个无线耳机发货是裸机还是有配件的？就是数据线那些不是可以无线换有线吗？到时候你要是到货是裸机我找谁说去？,这边需要先帮您去反馈有回复给您短信是否解决：,20221208 18:04:49
物流不更新都5天了,这边反馈催促下哦,20230107 10:42:19
和用户催促尽快发货辛苦处理,这边为您催促一下呢,20230108 16:46:43
充一年会员赠送乐高热门玩具三选一是那三个乐高玩具,您可以拍下商品页面照片，这边给您看下，离线,20230209 15:54:45
催促退款,催促,20221108 16:06:51
郑州发货吗忘了问，如果不发货，能否退款,这边需要反馈商家核实下哦,20221124 14:04:43
我这个目前还没发货，能否申请退款,可以,20221129 19:28:38
快递没收到货，申请退款商家让退货,已私信,20221213 20:23:49
我就想问问能到不退回我选择退款可以不，,可以的呢这边尽快反馈商家为您退款是否解决：,20221212 16:40:49
质量有问题该如何退电商,这个小喜这边也会帮您反馈核实下的哈后续告知您结果,20230317 10:08:44
我需要电话号码发给我，，《蒙曼讲红楼梦》专辑+实体书,联系人/联系电话：李丽/028-83655215退货地址：四川省成都市青白江区四川省成都市青白江区通汇大道666号四川文传物流有限公司3号库,20221213 16:22:41
快递信息显示已签收，但我没接到任何消息的通知，这是怎么回事？,显示还在运输中哦，您耐心等待即可哦,20230415 16:45:26
十天前疫情防控，现在常态化了,申请补发,20221118 16:33:41
用户咨询换货的耳机还没寄出来吗已告知发出换新单号：,帮您反馈商家尽快为您发出哦是否解决：,20221220 12:28:15
为什么还不退款？,这边为您处理退款辛苦后续关注一下退款是否到账,20230116 09:28:45
我想问这本书有配套的音频吗,暂时没有该内容的相关音频呢,20230221 12:42:14
未收到,催促,20221031 08:52:34
这个货买了有几天了，还没发货呢？,正常情况下48个小时发货呢，这边为您催促一下呢辛苦麻烦您后续关注一下订单页面物流是否更新呢,20230210 23:20:13
你好，我购买的能量卡，怎样进入喜马拉雅VIP频道,您可以打开哦，里面是有兑换码，卡片，进行兑换是否解决：,20230118 18:07:49
收到的书有损坏,联系购买方确认,20230109 14:55:20
商家:中南博集天卷文化传媒有限公司催促发货,催促,20230112 08:33:08
我1月8号买的，当时快递没停，就崔你们发，然后硬是拖到过年跟我说快递停了发不了不发退款就行,退款的话这边为您处理，辛苦后续关注一下退款是否到账呢,20230129 15:06:49
我这是8号买的套餐，到现在也没发货,暂时无法发货，需要年后安排发货的呢,20230116 21:01:56
搞笑呢，我还等着发货了，直接给我退款了,退款已到账,20230129 20:18:53
我买的迪斯尼耳机手机找不到！,这个是需要撕掉之后充电的哦,20221216 20:23:47
买的耳机怎么物流不更新,202301264001315005438239884铁达信pro6蓝牙耳机确认哪笔，用户离线是否解决：,20230201 17:14:01
没有物流信息,已经开始投递了哦,20221102 15:31:55
藏青色雨伞，，这个订单还要多久才能到货,物流时效无法保证，需要看物流情况的,20221224 13:24:20
耳机坏的要求退货,发群,20230301 10:23:25
你们平台买的耳机质量太差了，用了没三天就不断的脱落，没半月直接断了，就是那个耳机，属于全是小件组装的，不断的掉头，今天头掉下来了，彻底掉了，没法用了,麻烦拍下照，小喜这边看下呢,20230224 09:33:05
物流在28号就没有再更新了，请帮忙核查一下,辛苦您咨询下快递哦,20230303 18:59:26
设备申请换货辛苦核实是否已入库并同步寄出单号，地址不变电商,已反馈商家待同步08:38会话手动关闭,20230323 10:33:54
请问这单的物流，到哪里了?,这边反馈商家联系快递催促下哦,20230103 17:53:45
我买的热敷护腰带移动电源么？咋没有移动电源呢？,这边反馈商家核实一下哦是否解决：,20230116 20:18:20
补偿运费,已反馈商家,20230411 21:43:48
用户催促发货，辛苦尽快处理下,催促,20221230 15:53:06
没有物流，催好几次了，没反应！,这边再次反馈核实哦,20230102 17:50:25
还没发货吧？催了无数次了！,关于您反馈的【商品发货的】问题；现核实为：【疫情停发，无法邮寄呢，辛苦您耐心等待可以邮寄的时候会第一时间寄出的哦,20230103 19:08:20
迟迟未发货,帮您催促一下哦然后有回复给您短信告知是否解决：,20221211 15:01:49
我的货怎么还没到已告知商家还在与京东物流方确认当中,发群询问,20230301 09:23:39
物流卡着一直不动,告知核实中不认可表示要退货已确认可通过订单提交售后申请,20230303 10:31:19
购买的东西一直没有收到现在无法退款,核实后私信,20230303 13:38:23
申请退款已拒收了原路寄回了退款辛苦处理下,反馈群里处理退款,20230220 21:51:38
现在耳机开不了机了,已钉钉群核实,20230426 13:24:52
的套餐里面有几款，派送的东西有绑定消费没,告知核实后私信，认可,20221125 17:45:41
我购买的东西下单的时候显示库存不足是为什么,库存不足就是暂时缺货哦目前辛苦您已页面显示为准哈是否解决：,20221202 17:36:46
订单物流异常,"查看物流显示已经到了，您可以门卫室自提点,投递员:叶炜驱,电话:13712431376，看下哦",20230420 11:56:50
是上海没货?我看显示5分钟前有人下单,商品购买页面截图提供下呢,20221217 13:35:55
没库存?,具体以页面显示为准哦,20221216 21:30:57
快递没到都多少天了,截图告知快递进度用户离线,20230323 10:20:49
帮忙催一下快递啊快递都几天没动了,最新物流哦正在派送呢,20230323 10:57:32
快递还没到电商,物流单号：YT8655907389008，最新2023年3月22日下午1:56:51【浙江省温州市永嘉县】已发出下一站【温州转运中心公司】,20230322 22:24:49
申请退款要多久审核,这边帮您催促下哦~辛苦您等待了~,20230416 16:19:31
我退了吧看不到物流真难受，,告知可以在订单页面申请,20230110 09:25:57
物流不更新,正在运输最新2022年12月11日下午3:34:01[辽宁省锦州市太和区]快件离开【锦州转运中心】已发往【济南转运中心】,20221211 19:14:15
充电仓无法给耳机正常充电,这边尽快为您反馈核实哦有回复给您短信告知是否解决：,20221120 22:08:12
物流信息一直没有更新电商,发送物流进度截图，辛苦您留意关注下的哦,20230321 20:14:13
我点积分充值但是我正好来电话了，没买成，再买就不让了，就那个500积分那个活动，然后积分也没了,如未最终购买成功，预计扣减的积分将于3小时内自动退回,20230301 15:21:46
刚才收到一个自称是德邦快递的人，说是快递丢了要赔偿什么的，这应该是个骗子吧无,建议尝试咨询物流官方核实下,20230407 19:38:45
之前我买的蓝牙耳机没有办法连接？,请您删除手机蓝牙连接记录，将两只耳机放入充电仓，关盖再开盖，再同时取出两只耳机，此时两只耳机指示灯闪烁，等待其中一只耳机灯光熄灭，则说明双耳配对成功，即可连接手机使用；如还未能配对成功，请您重复以上操作。,20221101 22:27:08
买的东西，物流不动了,是爱恩倍薰衣草持久留香促销组合家庭装2L*1桶吗,20221213 13:11:18
我买的东西为什么不发货？,已发货的哦,20230110 15:06:03
有一个退货能处理一下吗？,拦截成功不发货之后为您退款，已退款,20221103 20:59:43
【买一得二】喜马拉雅VIP年卡+乐高76400哈利波特系列霍格沃茨夜骐马车和巨齿卡车二选一，我的会员自己没了，但是也没有退款啊,反馈处理退款,20221103 12:52:52
催促尽快发货,这边为您催促一下，辛苦麻烦您后续关注一下订单页面物流是否更新呢,20221226 13:50:16
再次催促,发群,20230101 09:45:25
你们卖的耳机听一会就没电了电商所属供应商名称：北京网聚迪信优品互联网科技有限公司,大概听多长时间就没有电了呢，离线,20230329 22:30:42
催促退款,已退款，用户离线是否解决：,20230108 17:39:41
我申请退款都快一个月了。,您1-3个工作日留意到账的哦,20230225 08:04:38
这个牙刷电动好用吗,商城的都是正品的,20221221 23:03:52
已解封需要补发,补发处理,20221106 16:54:44
订单发货了没有？,补发单号：中通78646628482899,20230227 11:29:31
上次就说补发，一直没有处理,补发中通78646628482899,20230224 13:13:33
我的订单一直没有发货,补发单号：中通78646628482899,20230304 19:43:13
爱奇美快充编织数据线简包，我的订单什么情况？一直没有发货,反馈核实补发,20221120 21:15:44
快递什么时候可以派送啊,用户手动离线,20221209 13:14:57
物流说找不到件了麻烦你补发一下,这边反馈商家核实一下哦是否解决：,20221212 15:08:54
催促发货,已催促,20230413 12:29:23
为啥还没有物流信息啊,进行催单核实,20230109 15:42:57
运费谁承担,请问是换货吗,20230405 19:04:36
我买的会员有台历吗？,是哪笔订单呢,20221210 11:44:16
这个宣传不是显示送台历吗？,是的,20221210 12:29:29
宜閣养生壶，打烂了玻璃壶，想配一个多少钱,之前购买的订单号提供下哦,20230327 22:35:07
孩子说从喜马拉雅上买这个书有迈克狐签名,具体以商品详情页面为准哦，若页面没有，说明没有签名哦是否解决：,20230110 14:06:06
迈克狐那套书带签名吗,麻烦提供下页面截图是否解决：,20230110 14:04:12
催促发货,告知催促商家建议耐心等待,20230207 15:59:45
我去年在广告上付的款怎么查询,核实账单，离线是否解决：,20221102 20:07:04
退款,帮您登记退款哦,20230428 08:24:21
怎么申请邮费？,等待商品签收之后提供支付宝信息和支付凭证联系客服处理的呢,20230430 19:59:17
买的蓝牙耳机怎么退换货,前往APP-我的-全部服务-订单中申请退款按照页面显示的地址寄回用户关闭对话,20230428 23:59:38
都申请一下退款吧,发群申请,20221212 08:23:40
迪奥口红是正品吗？,官方商城购买的商品均正品保证,20230223 20:05:41
换货也可以的,催促下发出,20230101 14:55:03
单号：退货已经签收,催促发出,20221224 12:29:12
这是退货的运单截图，支付宝姓名刘跻昆，,已反馈,20221219 17:06:13
一天没有更新物流,发送物流信息截图告知辛苦您留意关注下的哦,20230426 23:57:59
这个单号我这边没有显示查不到物流，今天只收到两箱酸奶,这个快递单号关注一下哦1230215665870是否解决：,20221119 15:30:37
购买的耳机，左边耳机不响，买回来就不响，一直没来及处理，连接蓝牙的时候只有右边耳机有红色蓝色灯光闪烁，左边只有充电的时候会闪红灯电商,已反馈钉钉群，有结果私信或者短信,20230401 16:52:25
亲，您好，商品下单后，多长时间发货呢？,正常是72小时内发货的呢,20230313 12:20:25
地址北京昌平能发货吗,是需要辛苦您在页面查看下已下单页面显示为准的商品下单之后预计48小时发出如超时未发出可联系客服核实下原因呢,20221121 19:55:45
催促发货,这边为您催促一下呢,20230210 18:55:41
套餐买的那个年会员是要等实物到了才有吗？,会员需要收到货后激活使用哦，先把订单退了已经申请,20230119 23:06:11
来自商家:凌海市展望生物科技有限公司物流显示退回，用户表示自己咨询快递回复是破损了要联系商家补发，辛苦核实,对方回复补寄，已短信,20230417 09:20:55
用户咨询迪士尼H1头戴式蓝牙耳机是否可以连接电脑呢,反馈厂家核实,20230103 16:35:21
发货渠道是什么呢下单后发货时间大概是多久,默认是中通快递哦正常购买48小时内发货的,20230308 16:28:33
实物跟商品图片一样吗我看发货的订单上面商品不是这一款,这个您购买的是哪款给您发的就是哪款哦,20221203 18:22:40
这款耳机能戴左耳吗,这款耳机只能带右耳哦,20230413 12:40:20
这个我想退掉上海微意电子有限公司,已反馈商家,20230423 09:58:00
地址写错了，写错个字，泰奕桃源，写成了抬,查看到商品未发货，建议您可以申请退款后重新购买哦,20230311 20:09:29
数据线的问题,商家回复，您将商品留下，辛苦您进线联系客服处理退款,20221210 11:46:47
寄回单号申通快递，用户已经寄回，辛苦注意签收,需要您等待一下，厂家收到商品之后处理的哦,20230107 18:12:11
商品已经退回发送了运费账单,这边查看之前运费问题已经帮您登记处理的哦,20230309 18:56:49
我的音响退我寄回去的运费就完了？我这是付了运费退回给你们什么都没捞到还都贴学费,核实用户具体诉求未明确告知,20230425 13:51:08
所属供应商名称：$上海魅都纺织品有限公司用户表示自己需要申请退款,反馈商家核实,20230421 15:51:15
都没收到货物流一直没更新申请退款，怎么还让我退货,物流单号：78674790467320您可以填写下物流单号的哦,20230421 13:29:48
我买的那个keep的，有喜马拉雅的年卡吗？,会员卡是实体卡需要收到后激活到账的呢,20230117 12:27:45
您好用户反馈购买的首饰收纳盒龙胆绿配件安装难无法使用,反馈商家核实是否有相关操作视频,20230113 10:58:24
耳机开不了机,核实信息用户离线,20221120 23:17:08
买的东西三天未更新电商:深圳市万物生供应链有限公司,截图告知物流信息,20230331 15:09:38
我想知道兑换的床单被罩四件套，床单的尺寸,这个页面您下滑有商品详情哦,20221204 22:30:34
还没有发货,运输中哦建议您耐心等待一下物流单号：YT7159149528434,20230409 09:41:18
喜马&keep能量礼盒季卡和年卡是二选一，还是两个都有,两个都有呢亲亲,20230115 15:42:22
那我现在买是可以发货是吧,亲亲，下单后是可以寄出的呢因过年期间寄出的物流时效不保证呢下单后可以联系我们为您催促一下呢,20230115 15:53:18
喜马拉雅的会员也要等货到才能使用吗,喜马拉雅×keep能量礼盒这个会员是实体卡哦需要收到后激活使用的是否解决：,20221228 13:33:22
我的订单一直不发货,这边帮您反馈商家核实处理,20230211 13:41:25
取消退款,告知无法取消，催促退款,20221117 15:17:50
无法发货退款,反馈，用户离线,20221029 19:16:42
我拍的酱油为什么还没到,这边帮您询问下相关商家，看看是否分包发送，1-3个工作日内给您账号绑定手机号发送短信告知,20221211 13:29:28
支付宝：@163.com何莉娜辛苦处理下退款,反馈厂家,20221224 17:47:51
之前有退款还没到位说是账号提供错误@126.com,这边再次反馈商家核实,20230107 11:33:49
什么时间发货,非疫情地区下单后48小时发货,20221228 19:02:16
催促发货,催促,20221208 18:03:52
麻烦确认发货时间，谢谢,这边加急帮您反馈有回复给您短信告知是否解决：,20221210 14:40:59
退款,这边为您处理辛苦后续关注退款是否到账,20230208 19:56:03
想修改收货地址电商上海微意电子有限公司,物流单号：78669600649976显示运输中无法直接帮您修改的哦,20230325 13:34:52
退款,这边为您处理~辛苦一至三工作日左右关注一下退款是否到账呢~,20221205 21:59:37
用户催发货,帮您催促商家发出哦是否解决：,20221205 16:32:56
请问可以麻烦提醒发货吗,空刻意面奶油三重奏3人份「意面➕螺旋面➕通心粉三重奏」这个订单吗,20230103 12:33:06
我这个订单三天没有更新物流了,这边反馈商家联系快递催促,20221107 20:23:10
店铺名称：深圳市万物生供应链有限公司表示收到货了板凳脏污且有毛发，桌子根本放不平整而且金属处有很多的凹陷损伤，根本就放不平整，要求换货我不出邮费，卖方负责,发群核实,20230329 13:12:20
用户提供寄回物流单号,转接后用户离线,20221116 16:24:14
收货地址在哪修改？,请您在购买之前提交订单页面上方查看下地址修改,20221218 22:59:23
什么时候发货,催促,20221115 11:34:27
需要核实物流,反馈核实,20221115 11:50:36
退款,反馈拦截物流拦截成功退回后处理,20221119 10:27:53
质保多长时间,商城售卖的商品质保期一年时间呢~,20221213 13:36:28
现在物流还能发货吗,您下单这边催促仓库尽快为您发出哦是否解决：,20230117 17:29:57
什么时间发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221219 14:13:08
你们的蓝牙耳机下架了吗？我原来的丢了，想重新买一个，你们商城没有了,是的哦目前1S已下架,20230324 17:33:45
用户催促发货,催促,20230107 21:20:12
还没发货,这边已经跟进催促了，会尽快尽快处理发货的哦,20230107 16:06:22
换书产生邮费，谁负责的问题你们没有回复我,您先垫付，入库后联系客服提供支付宝信息为您申请补偿,20230208 09:52:18
是291到322，多了31页，又少了322到355，中间33页,发群,20230101 12:05:19
书已寄出邮费麻烦支付一下,SF1459214903145显示运输中，辛苦等待下签收之后联系客服提供支付宝账号支付宝实名姓名以及运费支付截图,20230210 09:34:06
猫粮能看到吗,核实商品截图，用户离线,20221229 17:25:19
无法扫码,核实中用户称可以了,20221027 19:21:22
耳机连接不上不显示改名称,辛苦您撕掉这这个需要撕掉的哦,20221121 22:06:40
用户提供寄回单号：,反馈厂家,20221117 21:36:34
耳机放进充电仓但是充不进去电充电仓有电,这边反馈商家核实一下哦有回复给您短信告知哦是否解决：,20221113 20:48:29
我还收到快递，现在要退款，直接拒收可以吗,拒收后商品是会退回入库的呢，入库后联系我们为您处理退款即可呢,20230210 18:27:51
（来自商家:上海微意电子有限公司）退货显示已经签收几天催促退款辛苦看下是否收到,反馈，用户离线是否解决：,20230215 10:26:39
还没收到怎么拒收,有快递给您联系时您拒收一下即可呢,20230210 18:53:29
我说易经杂说这本书怎么购买不了,麻烦提供下无法购买的页面截图哦是否解决：,20230204 15:51:44
易经杂说购买不了吗,若不能购买，应该是没有货了是否解决：,20230204 15:51:26
商家:上海珍犀食品有限公司用户称物流一直未发货辛苦尽快处理,这边为您催促一下呢，辛苦麻烦您后续关注一下订单页面物流是否更新呢,20230104 16:56:22
我的退款通过一下,为您反馈处理哦会在1-3个工作日退款到账哦,20230107 09:48:20
用户进线表示购买的商品与实物不符,反馈核实,20230206 20:01:15
为什么我订单里面会有我没有买的东西,核实信息中离线,20230207 09:13:17
您好！请问我退换的养生壶发货了没,换货申通773193634883594,20221116 16:51:04
您好！我下的订单里显示少了一单,告知用户购买的就是这两个商品为缺少,20221109 21:48:44
用户再次进线，退回养生壶运费的事还没消息？商家已回复已短信用户,记录您的问题反馈商家给您处理这个运费哦,20221120 11:59:45
寄出单号，换货,催促换货,20221115 13:03:23
寄出单号，换货,帮您登记哦是否解决：,20221112 18:54:59
我之前给的帐号有误，现用这个帐号赵伟莉，养生壶换货运费18元,已反馈商家核实处理运费,20221120 10:15:10
我去年在该平台买了耳机，现在无法链接蓝牙,用户离线,20230207 12:27:47
用户提供寄回物流单号和支付宝和运费支付截图,好的呢这边为您登记一下呢,20230207 12:17:44
我的快递电话是多少啊？,您的包裹已存放至【代收点】，记得早点来【锦顺路南管经21清鹏超市】取它回家！如有问题请联系：谷世美13695743470，投诉电话：0512-61425306,20221226 08:32:47
退货没发货我不要了,核实中,20230213 09:50:07
核实好了吗什么时候发货,您可联系客服热线：0755-2694-8877，工作时间9:00-21:00，帮您处理相关问题哦~,20230104 18:20:06
喜马拉雅×keep能量礼盒会员没有到账,排查后告知补偿一年会员,20230228 18:31:38
之前赠品退款，账户没有查到退款,辛苦麻烦您查看一下您的支付账号是在2022-10-19有退款到账已在线回复未私信或者短信回复,20221028 16:49:41
实物为什么还没有发货,您好，受全国春运及疫情的影响，商城中的商品将在春节期间（暂停发货，从1月30日起恢复正常，陆续开始发货~,20230115 18:23:06
反馈处理退款，有结果私信告知,催促,20221214 15:13:35
退货能取消吗,辛苦确认下您这边是需要取消退款还是需要退货退款呢,20221206 21:23:25
我的退货东西应该已收到麻烦退款,辛苦您提供一下您的寄回单号是否解决：,20221213 10:38:54
购《365天理财学习营》课程，赠主播推荐书籍《股票作手回忆录》,沟通中表示还是退货处理,20221211 12:27:27
购《365天理财学习营》课程，赠主播推荐书籍《股票作手回忆录》，我的无理由退货还没给我处理,实体书需要寄回，7天无理由非质量问题运费需要您自己承担,20221205 15:25:42
请问我的快递到了吗,已告知物流信息,20221213 16:55:25
你好，请问我的快递到哪里了？谢谢,建议耐心等待下,20221219 16:48:36
你好，请问我的快递目前是什么状态,反馈催促下物流,20221211 12:17:21
刚才收到短信说让我退货,退款预计1-3个工作日原路返回到账,20221030 09:25:24
想问一下两个商品有啥区别,核实中用户离线,20230216 12:44:37
